age,marital_status,religion,parity,education_status,Occupation,ethnicity,by_distance,by_unemployment,by_illiteracy,uneducated_spouse,by_pregnancy_education,by_income,low_family_earning,healthcare_cost,strict_believes,husband_authority,fear_of_surgery,proving_womanhood,curses,traditional_birth_mode,herbal_prescriptions,bad_attitude,healthcare_delay,late_anc_attendance,poor_healthcare,obstetric_care_accessibility,health_workers_attitude,traditional_solutions,social_support,health_inst_adherence
27,Married,Christian,2,Junior high school,Merchant,Akan,Neutral,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Agree,Disagree
25,Married,Christian,0,Tertiary,Trader,Akan,Disagree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral
29,Separated,Christian,2,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree
25,Single,Christian,0,Tertiary,Apprentice,Akan,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree
28,Married,Christian,1,Tertiary,Nurse,Akan,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
32,Married,Christian,3,Junior high school,Trader,Akan,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree
32,Married,Christian,1,Senior high school and above,Trader,Akan,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree
30,Married,Christian,2,Junior high school,Seamstress,Akan,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree
39,Married,Christian,3,Junior high school,Farmer,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree
30,Single,Christian,0,Senior high school and above,Seamstress,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree
